show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
s1802;Movie;Dolly Parton: Here I Am;Francis Whately;Dolly Parton;United Kingdom;October 6, 2020;2019;TV-14;90 min;Documentaries, Music & Musicals;Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.
s426;Movie;AllI Wish;Susan Walter;Sharon Stone, Tony Goldwyn, Liza Lapira, Ellen Burstyn, Jason Gibson, Famke Janssen, Caitlin Fitzgerald, Gilles Marini, Erica Ash, Tom Paolino;United States;March 18, 2020;2017;R;95 min;Dramas, Romantic Movies;Over a series of birthdays, a happy-go-lucky, commitment-averse fashion designer strives to bring a bit of calm to her chaotic love life.
s7641;Movie;Wira;Adrian Teh;Hairul Azreen, Fify Azmi, Ismi Melinda, Hilal Azman, Dain Said, Yayan Ruhian, Henley Hii, Josiah Hogan;Malaysia;June 15, 2020;2019;TV-14;108 min;Action & Adventure, Dramas, International Movies;After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.
s1449;TV Show;Code Lyoko;NA;Raphaelle Bruneau, Sophie Landresse, Marie-Line Landerwyn, Géraldine Frippiat, Carole Baillien, Bruno Mullenaerts, Frédéric Meaux;France, Belgium;October 1, 2020;2007;TV-Y7;4 Seasons;Kids' TV;After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world.
s850;TV Show;Best Leftovers Ever!;NA;Jackie Tohn, David So, Rosemary Shrager;United States;December 30, 2020;2020;TV-G;1 Season;Reality TV;Decadent pasta from day-old fries? Skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.
s2629;Movie;Harith Iskander: I Told You So;Michael McKay;Harith Iskander;United States;January 19, 2018;2018;TV-14;62 min;Stand-Up Comedy;Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more.
s2879;Movie;Hustle & Flow;Craig Brewer;Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes;United States;December 1, 2019;2005;R;117 min;Dramas, Independent Movies, Music & Musicals;A pimp with aspirations of grandeur wants to make it as a rapper but discovers that fame isn't all it's cracked up to be in this indie drama.
s6273;Movie;The Dawn Wall;Peter Mortimer, Josh Lowell;Tommy Caldwell, Kevin Jorgeson;Austria, United States;March 4, 2019;2017;TV-MA;100 min;Documentaries, Sports Movies;Cameras follow Tommy Caldwell and Kevin Jorgeson as they take on the staggering challenge of free-climbing Yosemite’s most formidable rock formation.
s6298;Movie;The Devil We Know;Stephanie Soechtig, Jeremy Seifert;NA;United States;January 15, 2019;2018;TV-14;88 min;Documentaries;This documentary details DuPont's alleged decades-long cover-up of the potential harm caused by chemicals used to make popular Teflon products.
s5631;TV Show;Single Wives;NA;Fifi Box, Matthew Hussey;Australia;July 18, 2020;2018;TV-MA;1 Season;Reality TV, Romantic TV Shows;Looking for a second chance at love, four formerly married women are put in various romantic situations then receive feedback from a dating coach.
s6478;TV Show;The Idhun Chronicles;Maite Ruiz De Austri;Michelle Jenner, Itzan Escamilla, Sergio Mur, Nico Romero, Carlos Cuevas;Spain;January 8, 2021;2021;TV-14;2 Seasons;Anime Series, International TV Shows, Spanish-Language TV Shows;A boy suddenly orphaned fights his parents' killer to save a planet, and discovers a new world of danger — and wonder.
s1831;TV Show;Dorohedoro;NA;Wataru Takagi, Reina Kondo, Kenyu Horiuchi, Yoshimasa Hosoya, Yu Kobayashi, Kengo Takanashi, Miyu Tomita, Toru Nara, Mitsuhiro Ichiki, Hisao Egawa, Soungdok, Mayu Udono, Anri Katsu, Shinichiro Miki, Hozumi Goda, Tetsu Inada, Takuma Terashima, Ryohei Kimura, Yuki Kaji;Japan;May 28, 2020;2020;TV-MA;1 Season;Anime Series, International TV Shows;Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.
s3258;Movie;Justin Timberlake + the Tennessee Kids;Jonathan Demme;Justin Timberlake;United States;October 12, 2016;2016;TV-MA;90 min;Music & Musicals;On the final nights of a world tour, director Jonathan Demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star.
s2154;Movie;Fierce;Anna Wieczur-Bluszcz;Katarzyna Sawczuk, Maciej Zakościelny, Anita Sokołowska, Julia Kamińska, Tomasz Karolak, Maria Pakulnis, Barbara Wypych, Wojciech Solarz, Adrian Majewski, Michał Piprowski, Urszula Dudziak, Krzysztof Ibisz;Poland;December 2, 2020;2020;TV-MA;118 min;Comedies, Dramas, International Movies;A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.
s6077;TV Show;The American Barbecue Showdown;NA;Lyric Lewis, Rutledge Wood;United States;September 18, 2020;2020;TV-G;1 Season;Reality TV;Eight of the country's best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff.
s4030;Movie;Memory Games;Janet Tobias, Claus Wehlisch;NA;Germany, United States, Sweden;June 19, 2019;2018;TV-14;86 min;Documentaries;Glimpse into the brain's vast potential for memorization through the eyes of four competitive memory athletes as they share techniques and insights.
s3820;TV Show;Luna Petunia: Return to Amazia;NA;Ciara Alexys, Katie Griffin, Cory Doran, Jonah Weinberg, Stephanie Lynn Robinson, Stephanie Anne Mills, Robert Tinkler;Canada, United States;July 20, 2018;2018;TV-Y;2 Seasons;Kids' TV;Luna Petunia returns to magical Amazia, adding memories to her scrapbook with old friends – and a new pal from the Animal Empire.
s4315;Movie;My Entire High School Sinking Into the Sea;Dash Shaw;Jason Schwartzman, Lena Dunham, Reggie Watts, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, Louisa Krause, John Cameron Mitchell, Matthew Maher;United States;January 23, 2018;2016;PG-13;77 min;Comedies, Independent Movies;After an earthquake sends their school building drifting into the sea, a group of high-schoolers struggles to survive and overcome clique wars.
s2810;Movie;Horrid Henry's Gross Day Out;Gary Andrews;Lizzie Waterworth-Santo, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Philip Pope;United Kingdom;September 17, 2020;2020;TV-Y;61 min;Children & Family Movies, Comedies;Worlds collide when Henry makes plans to spend Saturday on the sofa watching a "Gross Class Zero" marathon — and his favorite characters come to life!
s3415;Movie;Kiss the Ground;Joshua Tickell, Rebecca Harrell Tickell;Woody Harrelson;United States;September 22, 2020;2020;TV-G;85 min;Documentaries;Science experts and celebrity activists unpack the ways in which the earth's soil may be the key to combating climate change and preserving the planet.
s1060;Movie;Boss;Anthony D'Souza;Akshay Kumar, Ronit Roy, Shiv Pandit, Mithun Chakraborty, Johny Lever, Aditi Rao Hydari, Danny Denzongpa, Govind Namdeo, Parikshat Sahni, Aakash Dabhade;India;July 5, 2020;2013;TV-14;139 min;Action & Adventure, Comedies, Dramas;Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.
s7376;Movie;Us and Them;Rene Liu;Jing Boran, Zhou Dongyu, Zhuangzhuang Tian, Qu Zheming, Zhang Zixian;China;June 22, 2018;2018;TV-MA;119 min;Dramas, International Movies, Romantic Movies;Two strangers meet on a train and form a bond that evolves over the years. After a separation, they reconnect and reflect on their love for each other.
s2892;Movie;I am Jonas;Christophe Charrier;Félix Maritaud, Nicolas Bauwens, Tommy Lee Baïk, Aure Atika, Marie Denarnaud, Ilian Bergala, Pierre Cartonnet, Marcel Bouzige, Nicolas Sartous;France;March 6, 2020;2019;TV-MA;82 min;Dramas, Independent Movies, International Movies;A turbulent past haunts Jonas, who recalls his teenage love affair with the impulsive, twisted and yet irresistible Nathan.
s4485;Movie;No Direction Home: Bob Dylan;Martin Scorsese;Bob Dylan, Joan Baez, Dave Van Ronk, Peter Yarrow, Allen Ginsberg, Pete Seeger, Maria Muldaur, Mavis Staples, Al Kooper, Tony Glover;United Kingdom, United States, Japan;April 25, 2020;2005;TV-MA;208 min;Documentaries, Music & Musicals;Featuring rare concert footage and interviews with legendary musicians, this documentary traces Bob Dylan's life story and extraordinary career.
s4431;Movie;Nature: Raising the Dinosaur Giant;NA;David Attenborough;United States;March 1, 2017;2016;TV-G;53 min;Documentaries;Sir David Attenborough examines a recently discovered collection of dinosaur fossils. CGI and 3-D scans reveal what the beast may have looked like.
s585;TV Show;Arrow;James Bamford;Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett;United States;February 5, 2020;2019;TV-14;8 Seasons;Crime TV Shows, TV Action & Adventure;Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows.
s4729;TV Show;Pac-Man and the Ghostly Adventures;NA;Erin Mathews, Sam Vincent, Andrea Libman, Ashleigh Ball, Ian James Corlett, Brian Drummond, Lee Tockar, Matt Hill;United States, Japan, Canada;June 20, 2017;2014;TV-Y7;2 Seasons;Kids' TV, TV Comedies;Teenage Pac and his loyal crew face the ups and downs of adolescence while protecting Pac-World from a ghostly army led by the evil Betrayus.
s1204;Movie;Canvas;Frank E. Abney III;NA;United States;December 11, 2020;2020;G;9 min;Children & Family Movies, Dramas;After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again.
s5629;Movie;Single;Raditya Dika;Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes;Indonesia;September 28, 2018;2015;TV-PG;127 min;Comedies, International Movies, Romantic Movies;Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.
s4216;TV Show;Monty Python's Almost the Truth;NA;Graham Chapman, Eric Idle, John Cleese, Michael Palin, Terry Gilliam, Terry Jones;United Kingdom;October 2, 2018;2009;TV-MA;1 Season;British TV Shows, Docuseries;The legacy of comedy group Monty Python, whose irreverent brand of humor has tickled the ribs of millions, is explored in this documentary.
s7235;TV Show;Trolls: The Beat Goes On!;NA;Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff;United States;November 22, 2019;2019;TV-Y7;8 Seasons;Kids' TV, TV Comedies;As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving.
s1666;Movie;Dear Santa;Jason Priestley;Amy Acker, David Haydn-Jones, Patrick Creery, Gina Holden, James Dugan, Margherita Donato, Brooklynn Proulx, James D. Hopkin, Bob Irvine;Canada;November 4, 2019;2011;TV-PG;92 min;Comedies, Romantic Movies;Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true.
