7787 shows imported
NA ------
 s4868  |     TV Show  |                                                                     Pioneers: First Women Filmmakers*  |                  1925  |            TV-14  |                1 season(s)
 s6954  |     TV Show  |                                                                   The Twilight Zone (Original Series)  |                  1963  |            TV-14  |                4 season(s)
 s6083  |     TV Show  |                                                                                The Andy Griffith Show  |                  1967  |             TV-G  |                8 season(s)
 s5786  |     TV Show  |                                                                                             Star Trek  |                  1968  |            TV-14  |                3 season(s)
 s4217  |     TV Show  |                                                                      Monty Python's Fliegender Zirkus  |                  1972  |            TV-MA  |                1 season(s)
 s4218  |     TV Show  |                                                                          Monty Python's Flying Circus  |                  1974  |            TV-14  |                4 season(s)
 s1260  |       Movie  |                                                                                 Chadi Jawani Budhe Nu  |                  1976  |            TV-PG  |              135 min.
 s1578  |     TV Show  |                                                                                            Dad's Army  |                  1977  |            TV-PG  |               10 season(s)
 s1950  |     TV Show  |                                                                                              El Chavo  |                  1979  |            TV-PG  |                1 season(s)
 s7496  |       Movie  |                                                                         We Are All For The Fatherland  |                  1979  |            TV-14  |               74 min.
 s4479  |     TV Show  |                                                                                         Ninja Hattori  |                  1981  |            TV-Y7  |                1 season(s)
 s6187  |       Movie  |                                                                                              The Bund  |                  1983  |            TV-14  |              103 min.
 s5239  |     TV Show  |                                                                                              Robotech  |                  1985  |            TV-MA  |                1 season(s)
 s5345  |     TV Show  |                                                                                           Saint Seiya  |                  1986  |            TV-14  |                6 season(s)
 s5537  |     TV Show  |                                                                                            Shaka Zulu  |                  1986  |            TV-14  |                1 season(s)
 s2731  |     TV Show  |                                                                                             High Risk  |                  1988  |            TV-PG  |                1 season(s)
 s2740  |     TV Show  |                                                                                     Highway to Heaven  |                  1988  |            TV-PG  |                5 season(s)
 s6915  |     TV Show  |                                                                     The Super Mario Bros. Super Show!  |                  1989  |            TV-Y7  |                1 season(s)
 s4812  |     TV Show  |                                                                                   Pee-wee's Playhouse  |                  1990  |            TV-PG  |                5 season(s)
 s7281  |     TV Show  |                                                                                            Twin Peaks  |                  1990  |            TV-14  |                2 season(s)
 s1013  |     TV Show  |                                                                        Bob Ross: Beauty Is Everywhere  |                  1991  |             TV-G  |                1 season(s)
 s7091  |       Movie  |                                                                            Tim Allen: ReWires America  |                  1991  |            TV-MA  |               30 min.
