7787 shows imported
G ------
 s2234  |       Movie  |                                                                                      Forbidden Planet  |                  1956  |                G  |               98 min.
 s2411  |       Movie  |                                                                                                  Gigi  |                  1958  |                G  |              115 min.
 s1345  |       Movie  |                                                                               Chitty Chitty Bang Bang  |                  1968  |                G  |              146 min.
 s7243  |       Movie  |                                                                                             True Grit  |                  1969  |                G  |              128 min.
 s2153  |       Movie  |                                                                                   Fiddler on the Roof  |                  1971  |                G  |              181 min.
 s7629  |       Movie  |                                                                   Willy Wonka & the Chocolate Factory  |                  1971  |                G  |              100 min.
 s1284  |       Movie  |                                                                                       Charlotte's Web  |                  1973  |                G  |               94 min.
 s2229  |       Movie  |                                                                                 For the Love of Benji  |                  1977  |                G  |               84 min.
  s486  |       Movie  |                                                                                      An American Tail  |                  1986  |                G  |               80 min.
  s409  |       Movie  |                                                                                 All Dogs Go to Heaven  |                  1989  |                G  |               85 min.
  s487  |       Movie  |                                                                    An American Tail: Fievel Goes West  |                  1991  |                G  |               75 min.
  s709  |       Movie  |                                                                                                 Balto  |                  1995  |                G  |               78 min.
 s6840  |       Movie  |                                                                                     The Rugrats Movie  |                  1998  |                G  |               81 min.
  s488  |       Movie  |                                                    An American Tail: The Mystery of the Night Monster  |                  1999  |                G  |               75 min.
 s5989  |       Movie  |                                                                                                Tarzan  |                  1999  |                G  |               89 min.
  s489  |       Movie  |                                                   An American Tail: The Treasures of Manhattan Island  |                  2000  |                G  |               79 min.
 s5296  |       Movie  |                                                                           Rugrats in Paris: The Movie  |                  2000  |                G  |               79 min.
  s710  |       Movie  |                                                                                   Balto 2: Wolf Quest  |                  2001  |                G  |               75 min.
 s3180  |       Movie  |                                                                             Jimmy Neutron: Boy Genius  |                  2001  |                G  |               83 min.
  s711  |       Movie  |                                                                              Balto 3: Wings of Change  |                  2004  |                G  |               78 min.
 s5768  |       Movie  |                                                                           Spookley the Square Pumpkin  |                  2004  |                G  |               47 min.
 s6770  |       Movie  |                                                                                     The Polar Express  |                  2004  |                G  |              100 min.
 s1326  |       Movie  |                                                                                        Chicken Little  |                  2005  |                G  |               82 min.
 s5990  |       Movie  |                                                                                              Tarzan 2  |                  2005  |                G  |               72 min.
 s6762  |       Movie  |                                                                                       The Pixar Story  |                  2007  |                G  |               89 min.
 s2358  |       Movie  |                                                                                  Garfield's Pet Force  |                  2009  |                G  |               78 min.
 s4561  |       Movie  |                                                                                               Océans  |                  2009  |                G  |               84 min.
 s6780  |       Movie  |                                                                             The Princess and the Frog  |                  2009  |                G  |               98 min.
 s3257  |       Movie  |                                                                        Justin Bieber: Never Say Never  |                  2011  |                G  |              106 min.
 s6759  |       Movie  |                                                                                      The Pirate Fairy  |                  2014  |                G  |               78 min.
 s7104  |       Movie  |                                                          Tinker Bell and the Legend of the NeverBeast  |                  2014  |                G  |               78 min.
 s2546  |       Movie  |                                                                                       Growing Up Wild  |                  2016  |                G  |               78 min.
 s5006  |       Movie  |                                                                                              Pup Star  |                  2016  |                G  |               92 min.
 s7103  |       Movie  |                                                                        Tini: The New Life of Violetta  |                  2016  |                G  |               99 min.
 s2397  |       Movie  |                                                                                Ghost of the Mountains  |                  2017  |                G  |               78 min.
  s156  |       Movie  |                                                                                      A Champion Heart  |                  2018  |                G  |               90 min.
 s5008  |       Movie  |                                                                                  Pup Star: World Tour  |                  2018  |                G  |               87 min.
  s228  |       Movie  |                                                                  A Shaun the Sheep Movie: Farmageddon  |                  2020  |                G  |               87 min.
 s1204  |       Movie  |                                                                                                Canvas  |                  2020  |                G  |                9 min.
NA ------
 s3738  |       Movie  |                                                                                 Louis C.K.: Hilarious  |                  2010  |               NA  |               84 min.
 s2360  |     TV Show  |                                                                     Gargantia on the Verdurous Planet  |                  2013  |               NA  |                1 season(s)
 s3661  |     TV Show  |                                                                                          Little Lunch  |                  2015  |               NA  |                1 season(s)
 s3739  |       Movie  |                                                                  Louis C.K.: Live at the Comedy Store  |                  2015  |               NA  |               66 min.
 s4324  |       Movie  |                                                                                  My Honor Was Loyalty  |                  2015  |               NA  |              115 min.
   s68  |       Movie  |                                                13TH: A Conversation with Oprah Winfrey & Ava DuVernay  |                  2017  |               NA  |               37 min.
 s3737  |       Movie  |                                                                                       Louis C.K. 2017  |                  2017  |               NA  |               74 min.
NC-17 ------
  s997  |       Movie  |                                                                             Blue Is the Warmest Color  |                  2013  |            NC-17  |              180 min.
 s5937  |       Movie  |                                                                                   Swearnet: The Movie  |                  2014  |            NC-17  |              112 min.
 s3519  |       Movie  |                                                                                             Lady-Like  |                  2018  |            NC-17  |               83 min.
NR ------
 s1242  |       Movie  |                                                                                 Cat on a Hot Tin Roof  |                  1958  |               NR  |              108 min.
 s7738  |       Movie  |                                                                                           Young Tiger  |                  1973  |               NR  |               81 min.
 s7636  |       Movie  |                                                                                  Winter of Our Dreams  |                  1981  |               NR  |               86 min.
 s2029  |       Movie  |                                                                                  Esperando La Carroza  |                  1985  |               NR  |               95 min.
 s3841  |       Movie  |                                                                           Mad Ron's Prevues from Hell  |                  1987  |               NR  |               84 min.
